_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_
11115,2016,D52,Controlled Drugs and Substances Act,Other,13
11147,2016,D31,Controlled Drugs and Substances Act,Other,145
11150,2016,D53,Controlled Drugs and Substances Act,Other,1
11256,2016,D53,Controlled Drugs and Substances Act,Other,13
11330,2016,D23,Controlled Drugs and Substances Act,Other,9
11381,2016,D22,Controlled Drugs and Substances Act,Other,5
11411,2016,D32,Controlled Drugs and Substances Act,Other,1
11453,2016,D13,Controlled Drugs and Substances Act,Other,28
11457,2016,D51,Controlled Drugs and Substances Act,Other,2
11664,2016,D43,Controlled Drugs and Substances Act,Other,2
11744,2016,D33,Controlled Drugs and Substances Act,Other,10
11893,2016,D53,Controlled Drugs and Substances Act,Other,7
11925,2016,D14,Controlled Drugs and Substances Act,Other,4
12427,2016,D51,Controlled Drugs and Substances Act,Other,249
12459,2016,D11,Controlled Drugs and Substances Act,Other,22
12743,2016,D22,Controlled Drugs and Substances Act,Other,27
12764,2016,D42,Controlled Drugs and Substances Act,Other,15
12789,2016,D22,Controlled Drugs and Substances Act,Other,2
12968,2016,D43,Controlled Drugs and Substances Act,Other,38
13187,2016,D55,Controlled Drugs and Substances Act,Other,32
13534,2016,D33,Controlled Drugs and Substances Act,Other,3
13882,2016,D41,Controlled Drugs and Substances Act,Other,16
14276,2016,D12,Controlled Drugs and Substances Act,Other,7
14292,2016,D12,Controlled Drugs and Substances Act,Other,25
14493,2016,D14,Controlled Drugs and Substances Act,Other,16
14616,2016,D12,Controlled Drugs and Substances Act,Other,20
14825,2016,D22,Controlled Drugs and Substances Act,Other,5
15101,2016,NSA,Controlled Drugs and Substances Act,Other,108
15181,2016,D14,Controlled Drugs and Substances Act,Other,5
15217,2016,D43,Controlled Drugs and Substances Act,Other,22
15248,2016,D11,Controlled Drugs and Substances Act,Other,28
15449,2016,D51,Controlled Drugs and Substances Act,Other,15
15761,2016,D55,Controlled Drugs and Substances Act,Other,35
15783,2016,D31,Controlled Drugs and Substances Act,Other,56
15802,2016,D42,Controlled Drugs and Substances Act,Other,2
15894,2016,D42,Controlled Drugs and Substances Act,Other,14
15963,2016,D55,Controlled Drugs and Substances Act,Other,22
16081,2016,D13,Controlled Drugs and Substances Act,Other,74
16187,2016,D13,Controlled Drugs and Substances Act,Other,7
16281,2016,D14,Controlled Drugs and Substances Act,Other,55
16526,2016,D32,Controlled Drugs and Substances Act,Other,9
16540,2016,D42,Controlled Drugs and Substances Act,Other,16
16860,2016,D22,Controlled Drugs and Substances Act,Other,33
16908,2016,D13,Controlled Drugs and Substances Act,Other,17
16934,2016,D12,Controlled Drugs and Substances Act,Other,69
17355,2016,D14,Controlled Drugs and Substances Act,Other,118
17461,2016,D14,Controlled Drugs and Substances Act,Other,35
17684,2016,D13,Controlled Drugs and Substances Act,Other,2
18179,2016,D52,Controlled Drugs and Substances Act,Other,1
18241,2016,D11,Controlled Drugs and Substances Act,Other,1
18453,2016,D42,Controlled Drugs and Substances Act,Other,21
18780,2016,D11,Controlled Drugs and Substances Act,Other,19
18934,2016,D13,Controlled Drugs and Substances Act,Other,15
19473,2016,D14,Controlled Drugs and Substances Act,Other,8
19493,2016,D22,Controlled Drugs and Substances Act,Other,4
19788,2016,D42,Controlled Drugs and Substances Act,Other,15
19888,2016,D31,Controlled Drugs and Substances Act,Other,45
20123,2016,D31,Controlled Drugs and Substances Act,Other,27
20272,2016,D32,Controlled Drugs and Substances Act,Other,6
20368,2016,D23,Controlled Drugs and Substances Act,Other,18
20691,2016,D31,Controlled Drugs and Substances Act,Other,39
20945,2016,D22,Controlled Drugs and Substances Act,Other,7
21111,2016,D32,Controlled Drugs and Substances Act,Other,10
21140,2016,D51,Controlled Drugs and Substances Act,Other,38
21229,2016,D43,Controlled Drugs and Substances Act,Other,25
21369,2016,D11,Controlled Drugs and Substances Act,Other,18
21488,2016,D11,Controlled Drugs and Substances Act,Other,7
